#Stage_Name	Stage_Family	Stage_Manufacturer	Stage_Alt_Name	Length	Length_Flag	Diameter	Diameter_Flag	Launch_Mass	Launch_Mass_Flag	Dry_Mass	Dry_Mass_Flag	Thrust	Thrust_Flag	ThrustSL	ThrustSL_Flag	Duration	Engine	NEng	Class
# Updated 2026 Sep 18 0729:50
Ariane H10	Ariane.St3          	AELM	H10	 11.8	 	 2.60	 	  12.5	 	    1740	 	      62.7	 	-	 	 720.0 	HM-7B	 1	U
Ariane H10+	Ariane.St3          	AELM	H10+	 11.8	 	 2.60	 	  12.8	 	    1740	 	      62.7	 	-	 	 750.0 	HM-7B	 1	U
Ariane H10-3	Ariane.St3          	AELM	H10-3	 12.1	 	 2.60	 	  13.5	 	    1780	 	      62.7	 	-	 	 780.0 	HM-7B	 1	U
KSLV-II Stage 2	KSLV2-2             	KARI	-	 15.0	?	 2.60	 	  50.0	?	    1000	?	     788.0	 	-	 	 148.0 	KRE-075 V	 1	O
KSLV-II Stage 3	KSLV2-2             	KARI	-	  3.5	 	 2.60	 	-	 	     100	?	      68.7	 	-	 	 498.0 	KRE-007 V	 1	O
M-35	M-35                	NISST	-	  4.0	 	 2.60	 	  17.2	 	    2200	 	     445.0	 	-	 	 129.0 	M-35	 1	U
M-35a	M-35                	NISST	-	  4.0	 	 2.60	 	  17.2	 	    2200	 	     445.0	 	-	 	 129.0 	M-35	 1	U
E-21	M-35                	NISST	-	  4.0	 	 2.60	 	  18.0	 	    2200	 	     610.0	 	-	 	 120.0 	E-21	 1	U
E-31	M-35                	NISST	-	  2.2	 	 2.60	 	   5.0	 	    2200	 	     135.0	 	-	 	 108.0 	E-31	 1	U
8K72EL	Blok-E              	OKB1	-	  2.5	 	 2.58	 	   8.1	 	    1110	 	      49.4	 	-	 	 450.0 	RO-5	 1	U
8K72E	Blok-E              	OKB1	-	  3.6	 	 2.58	 	   8.0	?	    1440	?	      49.4	?	-	 	 450.0 	RO-5	 1	U
8K72KE	Blok-E              	OKB1	-	  3.6	 	 2.58	 	   8.0	?	    1440	?	      54.5	 	-	 	 430.0 	RO-7	 1	U
8A92E	Blok-E              	OKB1	-	  3.6	 	 2.58	 	   8.0	?	    1440	?	      54.5	 	-	 	 430.0 	RO-7	 1	U
8A92ME	Blok-E              	OKB1	-	  3.6	 	 2.58	 	   8.0	?	    1440	?	      54.5	 	-	 	 430.0 	RO-7	 1	U
A-350 Booster	A-350               	SKB30	-	  8.0	?	 2.57	 	  15.0	?	    1000	?	-	 	-	 	   5.0 	A-350 Booster	 1	B
A-350	A-350               	SKB30	-	 10.0	 	 2.57	 	  15.0	?	    1000	?	-	 	-	 	  40.0 	A-350 Sustainer	 1	M
A-350Zh Booster	A-350               	SKB30	-	  7.9	 	 2.57	 	  15.0	?	    1000	?	-	 	-	 	   5.0 	5S47	 1	B
A-350Zh	A-350               	SKB30	-	 15.0	?	 2.57	 	  15.0	?	    1000	?	-	 	-	 	  40.0 	5D22	 1	M
A-925	A-350               	FAKEL	-	  7.0	?	 2.57	 	  15.0	?	    1000	?	-	 	-	 	  40.0 	51T6B ZhRD	 1	M
A-925 Booster	A-350               	FAKEL	-	  8.0	?	 2.57	 	  15.0	?	    1000	?	-	 	-	 	   5.0 	51T6 Motor	 1	B
Nudol'	A-350               	ALMAN	-	  7.0	?	 2.60	?	  15.0	?	-	 	-	 	-	 	-	Nudol' St 2	 1	M
Nudol' Booster	A-350               	ALMAN	-	  8.0	?	 2.60	?	  15.0	?	-	 	-	 	-	 	-	Nudol' St 1	 1	B
M-14	MV                  	NISST	-	 14.1	 	 2.51	 	  87.0	 	   12070	 	    3780.0	 	-	 	  49.0 	M-14	 1	O
M-24	M-24                	NISST	-	  6.6	 	 2.51	 	  38.0	 	    3410	 	    1240.0	 	-	 	  71.0 	M-24	 1	S
M-25	M-24                	NISST	-	  6.6	 	 2.51	 	  38.0	 	    3410	 	    1240.0	 	-	 	  71.0 	M-25	 1	S
Briz-KM	Briz                	KHRU	-	  2.5	 	 2.50	 	   6.7	 	    1700	 	      19.6	 	-	 	1000.0 	S5.98M	 1	U
UR-100NA	UR-100N             	KHRU	-	 17.2	 	 2.50	 	  88.0	?	    5000	?	    2070.0	 	-	 	 121.0 	RD-0233	 4	O
UR-100NB	UR-100N.St2         	KHRU	-	  3.9	 	 2.50	 	  15.0	?	    2000	?	     240.0	 	-	 	 183.0 	RD-0235	 1	S
ASR SRB-A	H2.SRB              	NISST	-	 11.7	 	 2.60	 	  76.5	 	    8700	 	    2271.0	 	-	 	 116.0 	H-II SRB-A3	 1	S
H-II SRB-A	H2.SRB              	NISST	-	 15.2	 	 2.50	 	  75.0	 	   10000	 	    2250.0	 	-	 	 100.0 	H-II SRB-A	 1	S
H-II SRB-A3	H2.SRB              	NISST	-	 15.1	 	 2.50	 	  76.5	 	   10500	 	    2305.0	 	-	 	 120.0 	H-II SRB-A3	 1	S
H3 SRB-3	H2.SRB              	NISST	-	 14.6	 	 2.50	 	  76.2	 	    9000	 	    2158.0	 	-	 	 110.0 	H3 SRB-3	 1	S
TL2 Stage 3	TL2-3	TIANB	-	  2.0	?	 2.50	 	   0.9	 	-	 	       3.0	 	-	 	-	TH-31	 3	O
Thor DM-18	Thor                	DAC	-	 18.2	 	 2.44	 	  48.8	 	    3125	 	     667.0	 	-	 	 160.0 	MB-3	 1	O
Thor DM-18A	Thor                	DAC	-	 18.6	 	 2.44	 	  48.8	 	    3125	 	     667.0	 	-	 	 160.0 	MB-3	 1	O
Thor DM-18C	Thor                	DAC	-	 18.6	 	 2.44	 	  48.8	 	    3125	 	     734.0	 	-	 	 170.0 	MB-3-2	 1	M
Thor DM-21	Thor                	DAC	-	 17.1	 	 2.44	 	  47.8	 	    3125	 	     779.0	 	-	 	 170.0 	MB-3-2	 1	O
Thor DSV-2A	Thor                	DACHB	-	 17.1	 	 2.44	 	  47.8	 	    3125	 	     779.0	 	-	 	 170.0 	MB-3-2	 1	O
Thor DSV-2C	Thor                	DACHB	TA Thor DSV-2C	 17.1	 	 2.44	 	  48.0	?	    3175	 	     760.0	 	-	 	 170.0 	MB-3-2	 1	O
LT Thor DSV-2L-1A	Thor                	DACHB	LT Thor DSV-2L	 21.0	 	 2.44	 	  70.3	 	    3715	 	     860.0	 	-	 	 215.0 	MB-3-3	 1	O
LT Thor DSV-2L-1B	Thor                	DACHB	LT Thor DSV-2L	 20.3	 	 2.44	 	  70.3	 	    3715	 	     860.0	 	-	 	 215.0 	MB-3-3	 1	O
LT Thor DSV-2L-1C	Thor                	DACHB	LT Thor DSV-2L	 20.3	 	 2.44	 	  70.3	 	    3715	 	     860.0	 	-	 	 215.0 	MB-3-3	 1	O
LT Thor N	Thor                	DACHB	-	 20.3	 	 2.44	 	  70.3	 	    3715	 	     860.0	 	-	 	 215.0 	MB-3-3	 1	O
ELT Thor N	Thor                	DACHB	-	 22.4	 	 2.44	 	  85.8	 	    4400	 	     860.0	 	-	 	 270.0 	MB-3-3	 1	O
ELT Thor DSV-2L	Thor                	DACHB	-	 22.4	 	 2.44	 	  84.1	 	    4059	 	     860.0	 	-	 	 222.0 	MB-3-3	 1	O
ELT Thor DSV-2L-1D	Thor                	DACHB	-	 22.4	 	 2.44	 	  84.1	 	    4059	 	     860.0	 	-	 	 222.0 	MB-3-3	 1	O
ELT Thor DSV-2L-1E	Thor                	DACHB	-	 22.4	 	 2.44	 	  84.1	 	    4059	 	     860.0	 	-	 	 222.0 	MB-3-3	 1	O
ELT Thor DSV-2W-1	Thor                	DACHB	-	 22.8	?	 2.44	 	  84.4	 	    4360	 	     912.0	 	-	 	 223.0 	RS-27	 1	O
ELT Thor DSV-2W	Thor                	DACHB	ELT Thor 3900	 22.4	 	 2.44	 	  84.4	 	    4360	 	    1030.0	 	-	 	 223.0 	RS-27	 1	O
EELT Thor	Thor                	DACHB	-	 26.1	 	 2.44	 	 101.8	 	    5680	 	    1085.8	 	-	 	 261.0 	RS-27A	 1	O
Delta III Stage 1	Thor                	BOHB	-	 20.0	 	 2.44	 	 102.4	 	    6820	 	    1085.8	 	-	 	 261.0 	RS-27A	 1	O
LE-5	LE-5                	MHITO	-	  9.3	 	 2.44	 	  10.6	 	    1800	 	     103.0	 	-	 	 370.0 	LE-5	 1	U
UR-100NU APB	UR-100NU.St3        	KHRU	-	  0.5	 	 2.40	 	-	 	-	 	       4.9	 	-	 	 150.0 	RD-0237	 1	U
Strela APB	UR-100NU.St3        	KHRU	-	  1.3	 	 2.40	 	-	 	-	 	       4.9	 	-	 	 150.0 	RD-0237	 1	U
R-39 St 1	R-39                	YUZH/PAVKH	-	  9.7	 	 2.40	 	  53.7	 	-	 	    2060.0	 	-	 	-	3D65	 1	M
R-39 St 2	R-39.St2            	MAK	-	  5.0	?	 2.40	 	  25.0	?	-	 	-	 	-	 	-	R-39 St 2	 1	S
R-39 St 3	R-39.St3            	MAK	-	  4.0	?	 2.40	?	  10.0	?	-	 	-	 	-	 	-	R-39 St 3	 1	S
3M91 St 1	R-39                	YUZH/PAVKH	-	  9.7	 	 2.40	 	  30.0	?	-	 	    2060.0	 	-	 	-	3D65	 1	M
3M91 St 2	R-39.St2            	MAK	-	  5.0	?	 2.40	 	  15.0	?	-	 	-	 	-	 	-	R-39 St 2	 1	S
3M91 St 3	R-39.St3            	MAK	-	  4.0	?	 2.40	?	   5.0	?	-	 	-	 	-	 	-	R-39 St 3	 1	S
15Zh44 St 1	R-39                	PAVKH	-	  9.7	 	 2.40	 	  53.7	 	-	 	    2060.0	 	-	 	-	15D206	 1	M
15Zh44 St 2	RT-23.St2           	PAVKH	-	  4.8	 	 2.40	 	  25.0	?	-	 	    1050.0	 	-	 	-	15D207	 1	S
15Zh52 St 1	R-39                	PAVKH	-	  9.7	 	 2.40	 	  53.7	 	-	 	    2060.0	 	-	 	-	15D206	 1	M
15Zh52 St 2	RT-23.St2           	PAVKH	-	  4.8	 	 2.40	 	  25.0	?	-	 	    1050.0	 	-	 	-	15D207	 1	S
15Zh60 St 1	R-39                	PAVKH	-	  9.7	 	 2.40	 	  53.7	 	-	 	    2060.0	 	-	 	-	15D305	 1	M
15Zh60 St 2	RT-23.St2           	PAVKH	-	  4.8	 	 2.40	 	  25.0	?	-	 	    1050.0	 	-	 	-	15D339	 1	S
15Zh61 St 1	R-39                	PAVKH	-	  9.7	 	 2.40	 	  53.7	 	-	 	    2060.0	 	-	 	-	15D206	 1	M
15Zh61 St 2	RT-23.St2           	PAVKH	-	  4.8	 	 2.40	 	  25.0	?	-	 	    1050.0	 	-	 	-	15D290	 1	S
RT-23 St 3	RT-23.St3           	ISKRP	-	  3.6	 	 2.40	 	  15.0	?	-	 	     206.0	 	-	 	-	RT-23-3	 1	S
Hwasong-15 Stage 1	Hwasong-15          	KPA	-	 15.0	?	 2.40	?	  50.0	?	-	 	-	 	-	 	 800.0 	HS-15	 1	M
Hwasong-15 Stage 2	Hwasong-15          	KPA	-	  2.1	?	 2.40	?	   3.0	?	-	 	-	 	-	 	 224.0 	HS-15-2	 1	M
Cheonlima-1 Stage 1	Hwasong-15          	NADA	-	  7.0	?	 2.40	?	  50.0	?	-	 	-	 	-	 	-	CL1-1	 1	O
NK Kerolox Stage 1	Hwasong-15          	NADA	-	  7.0	?	 2.40	?	  50.0	?	-	 	-	 	-	 	-	NK Kero	 1	O
HS-18 St1	Hwasong-18         	KPA	-	 11.3	 	 2.40	 	  25.0	?	-	 	-	 	-	 	-	HS-18-S1	 1	M
HS-19 St1	Hwasong-18         	KPA	-	 11.3	 	 2.40	 	  25.0	?	-	 	-	 	-	 	-	HS-18-S1	 1	M
Taepo Dong 2	Unha                	KPA	-	 14.0	?	 2.40	 	  60.0	?	    5000	?	    1200.0	 	-	 	 120.0 	TD-2	 4	M
Simorgh Stage 1	Unha                	IR	-	 17.8	 	 2.40	 	  60.0	?	-	 	    1400.0	 	-	 	-	TD-2	 1	U
S3	Kosmos-3.St2        	YUZH	-	  6.0	 	 2.40	 	  20.1	?	    1500	?	     157.0	?	-	 	 335.0 	11D49	 1	U
S3M	Kosmos-3.St2        	POL	-	  6.0	 	 2.40	 	  20.1	 	    1435	 	     157.0	 	-	 	 335.0 	11D49	 1	U
R-14	R-14                	YUZH	-	 22.4	?	 2.40	 	  87.2	?	    5300	?	    1745.0	 	-	 	 130.0 	RD-216	 1	M
R-14 65S3A	R-14                	YUZH	-	 22.4	 	 2.40	 	  87.2	 	    5300	 	    1745.0	 	-	 	 130.0 	RD-216	 1	O
R-14 11K65A	R-14                	YUZH	-	 22.4	 	 2.40	 	  87.2	 	    5300	 	    1745.0	 	-	 	 130.0 	RD-216	 1	O
R-14 11K65MA	R-14                	POL	-	 22.4	 	 2.40	 	  87.2	 	    5300	 	    1745.0	 	-	 	 130.0 	RD-216	 1	O
8S642	R-16.St2            	OKB586	R-16B	 13.0	 	 2.40	 	  27.0	 	    3000	 	     882.0	 	-	 	 125.0 	RD-219	 1	S
Blok-L	Blok-L              	OKB1	-	  3.2	 	 2.40	 	   7.3	 	    1160	 	      66.7	 	-	 	 250.0 	S1.5400	 1	U
Blok-ML	Blok-L              	NPOL	-	  3.2	 	 2.40	 	   6.2	 	     999	 	      66.7	 	-	 	 250.0 	S1.5400	 1	U
Blok SO-L	Blok-L              	NPOL	-	  3.2	 	 2.40	 	   6.2	?	     999	 	      66.7	 	-	 	 250.0 	S1.5400	 1	U
Blok-2BL	Blok-L              	NPOL	-	  3.2	 	 2.40	 	   5.8	 	     902	 	      66.7	 	-	 	 250.0 	S1.5400	 1	U
Blok-VL	Blok-L              	NPOL	-	  3.2	 	 2.40	 	   5.8	 	     902	 	      66.7	 	-	 	 250.0 	S1.5400	 1	U
Blok-MVL	Blok-L              	NPOL	-	  3.2	 	 2.40	 	   5.8	 	     902	 	      66.7	 	-	 	 250.0 	S1.5400	 1	U
GSX-2 S1	GSX2	XIDO	-	  8.5	 	 2.35	 	  50.0	?	-	 	-	 	-	 	-	Ceres-2 M1	 1	O
GSX-2 S2	GSX2	XIDO	-	  5.0	 	 2.35	 	  30.0	?	-	 	-	 	-	 	-	Ceres-2 M2	 1	O
SR119	MX.St2              	AJSP	SR119	  5.3	 	 2.35	 	  27.7	 	    3175	 	    1223.0	 	-	 	  54.0 	SR119	 1	S
SR120	MX.St3              	HERC	SR120	  2.3	 	 2.35	 	   7.8	 	     635	 	     289.0	 	-	 	  60.7 	SR120	 1	S
GCA/Orion 38	Pegasus.St3         	ATKH	-	  2.1	 	 2.35	 	   1.2	 	     500	?	      36.0	 	-	 	  69.6 	Orion 38	 1	U
Castor 30	MX                  	ATK	-	  3.5	 	 2.35	 	  14.0	 	    1220	 	     260.0	 	-	 	 136.0 	Castor 30	 1	S
Castor 30B	MX                  	ATK	-	  4.2	 	 2.35	 	  14.0	 	    1083	 	     293.4	 	-	 	 128.0 	Castor 30B	 1	S
Castor 30XL	MX                  	ATK	-	  6.0	 	 2.35	 	  26.3	 	    1220	?	     260.0	 	-	 	 166.0 	Castor 30XL	 1	S
Peacekeeper PBPS	MX.St4              	RDYNE	-	  1.1	 	 2.35	 	   1.3	 	     550	 	      11.8	 	-	 	 168.0 	RS-34	 1	S
TU-903	MX                  	THKU	-	  8.4	 	 2.35	 	  49.0	 	    4300	 	    2204.0	 	-	 	  56.0 	TU-903	 1	O
SR118	MX                  	THKU	TU904	  8.4	 	 2.35	 	  53.4	 	    4400	 	    2225.0	 	-	 	  78.8 	SR118	 1	O
Terran 1 St 1	Terran1	RELSP	-	 24.3	 	 2.30	 	  55.0	?	    6000	?	     920.0	 	-	 	 180.0 	Aeon 1	 9	O
Terran 1 St 2	Terran1	RELSP	-	  8.1	 	 2.30	 	  20.0	?	    2000	?	     126.0	 	-	 	 239.0 	AeonVac	 1	U
Castor 120	MX                  	THKU	-	 10.7	 	 2.30	 	  53.1	 	    4450	 	    1604.0	 	-	 	  83.4 	Castor 120	 1	O
IUS SRM-1	Orbus21             	UTC	Orbus 21	  3.5	 	 2.30	 	  10.9	 	    1115	 	     186.0	 	-	 	 153.0 	Orbus 21D	 1	U
Orbus 21D	Orbus21             	UTC	ESBM	  3.0	 	 2.30	 	  10.8	 	    1030	 	     187.0	 	-	 	 150.0 	Orbus 21D	 1	U
OAM	OAM                 	PRIMX	-	  1.0	 	 2.30	 	   0.7	 	     360	 	       0.9	 	-	 	 550.0 	MR-107	 4	U
MSBS 501	M51                 	AELM	-	  6.5	 	 2.30	 	  30.0	?	    2500	?	     900.0	 	-	 	  60.0 	MSBS 501	 1	M
MSBS 502	M51                 	AELM	-	  2.3	 	 2.30	 	  10.0	?	     800	?	     300.0	 	-	 	  70.0 	MSBS 502	 1	S
MSBS 503	M51                 	AELM	-	  1.3	 	 2.30	 	   5.0	?	     100	?	     100.0	 	-	 	  40.0 	MSBS 503	 1	S
MR-UR-100 St 1	MR-UR-100           	YUZH	-	 14.3	 	 2.25	 	  59.0	 	    5000	?	    1236.0	 	-	 	-	RD-268	 1	M
Perimetr Stage 1	MR-UR-100           	YUZH	-	 14.9	 	 2.25	 	  59.0	?	    5000	?	    1236.0	 	-	 	-	RD-268	 1	M
CZ-3 Stage 3	CZ3.St3             	CALT	H8-YF73	  7.5	 	 2.25	 	  10.5	 	    2000	 	      44.1	 	-	 	 800.0 	YF-73	 1	U
CZ Booster	CZ.LB               	CALT?	LB40-YF25	 15.3	 	 2.25	 	  37.7	 	    3200	 	     740.4	 	-	 	 128.0 	YF-25	 1	S
CZ-3BE Booster	CZ.LB               	CALT?	LB41-YF25	 16.1	 	 2.25	 	  41.0	 	    3200	 	     740.4	 	-	 	 128.0 	YF-25	 1	S
CZ-K2-1	CZ.LB               	CALT	-	 26.5	 	 2.25	 	  81.5	 	    6000	 	    1200.0	 	-	 	 185.0 	YF-100	 1	S
DF3-YF2A	DF3                 	CALT	-	 18.0	 	 2.25	 	  64.1	 	    4100	 	    1224.0	 	-	 	 130.0 	YF-2A	 4	M
DF4-YF3	CZ1.St2             	CALT	-	  5.4	 	 2.25	 	  15.0	 	    2700	 	     306.0	 	-	 	 110.0 	YF-3	 1	S
CZ-K2-2	CZ1.St2             	CALT	-	  8.0	?	 2.25	 	  15.0	 	    3000	?	-	 	-	 	-	YF-115	 1	O
CZ-K2-3	CZ1.St2             	CALT	-	  4.0	?	 2.25	 	-	 	    1000	?	-	 	-	 	-	YF-85	 4	O
Burya	Burya               	NPOL	La-350	 18.0	 	 2.20	 	  40.8	 	   13000	 	-	 	-	 	   0.0 	-	 1	C
S5M	S5M                 	YUZH	-	  2.8	 	 2.20	 	   4.6	 	    1600	 	      79.0	 	-	 	 125.0 	RD-861	 1	U
M-34	M-34                	NISST	-	  3.4	 	 2.20	 	  11.6	 	    1000	 	     290.0	 	-	 	 102.0 	M-34	 1	U
M-34c	M-34                	NISST	-	  4.3	 	 2.20	 	  12.3	 	    1500	 	     327.0	 	-	 	 105.0 	M-34c	 1	U
ADD SLV St1	ADD-SLV	ADD	-	 11.8	?	 2.20	?	   4.0	?	-	 	-	 	-	 	-	ADD-SLV-1	 1	M
ADD SLV St2	ADD-SLV	ADD	-	  4.8	?	 2.20	?	   2.0	?	-	 	-	 	-	 	-	ADD-SLV-2	 1	M
ADD SLV St3	ADD-SLV	ADD	-	  2.8	?	 2.20	?	   1.5	?	-	 	-	 	-	 	-	ADD-SLV-3	 1	M
PAL	PAL                 	DASA	-	 18.6	 	 2.17	 	  44.0	 	    4500	 	     758.5	 	-	 	 140.0 	Viking VI	 1	S
MR-UR-100 St 2	MR-UR-100.St2       	YUZH	-	  3.2	 	 2.15	 	  10.0	?	    1000	?	     142.0	 	-	 	 195.0 	15D169	 1	S
Perimetr Stage 2	MR-UR-100.St2       	YUZH	-	  3.2	?	 2.15	 	  10.0	?	    1000	?	     142.0	 	-	 	 195.0 	15D169	 1	S
MR-UR-100 BR	BR                  	YUZH	-	  1.0	?	 2.15	 	   1.0	?	     500	?	-	 	-	 	-	15D171	 1	S
Trident	Trident.St3         	UTC?	-	  2.0	 	 2.13	 	   1.1	 	     700	 	      35.0	 	-	 	-	Trident Motor	 1	S
Trident D-5 Stage 1	Trident             	LMSC	-	  7.2	 	 2.11	 	  39.1	 	    2242	 	-	 	-	 	  64.0 	D-5-1	 1	M
Trident D-5 Stage 2	Trident.St2         	LMSC	-	  2.9	 	 2.11	 	  11.8	 	     790	 	-	 	-	 	  65.0 	D-5-2	 2	S
Coralie	Coralie             	SEREB	-	  6.5	 	 2.01	 	  12.0	 	    2400	 	     268.0	 	-	 	 105.0 	Coralie	 4	S
Astris	Astris              	ERNO	-	  3.8	 	 2.03	 	   3.6	 	     800	 	      22.5	 	-	 	 361.0 	Astris	 1	U
Spectrum Stage 1	Spectrum	ISAR	-	 17.0	 	 2.00	 	  80.0	?	-	 	     675.0	 	-	 	 150.0 	Aquila SL	 9	O
Spectrum Stage 2	Spectrum	ISAR	-	  5.0	 	 2.00	 	  30.0	?	-	 	      94.0	 	-	 	 300.0 	Aquila Vac	 1	O
PS3	SSLV	VSSC	PS-3	  3.6	 	 2.00	 	   8.4	 	    1100	 	     324.0	 	-	 	  83.0 	PS3	 1	S
HPS3	SSLV	VSSC	PS-3	  3.6	 	 2.00	 	   8.4	 	    1100	 	     324.0	 	-	 	  83.0 	PS3	 1	S
PS4	PSLV.St4            	VSSC	PS-4	  2.6	 	 2.00	 	   2.9	 	     920	 	      14.8	 	-	 	 425.0 	LVS	 2	U
HPS4	PSLV.St4            	VSSC	PS-4	  2.6	 	 2.00	 	   2.9	 	     920	 	      14.8	 	-	 	 425.0 	LVS	 2	U
Agni III	Agni3               	DRDO	-	  7.7	 	 2.00	?	  33.0	 	    2970	 	    1040.0	?	-	 	  75.0 	Agni III	 1	M
Agni V	Agni3               	DRDO	-	  7.7	 	 2.00	?	  33.0	 	    2970	 	    1040.0	?	-	 	  75.0 	Agni III	 1	M
Agni III Stage 2	Agni3               	DRDO	-	  3.1	 	 2.00	?	  14.0	 	    1820	 	     314.0	 	-	 	 110.0 	Agni III S2	 1	S
Agni V Stage 2	Agni3               	DRDO	-	  3.1	 	 2.00	?	  14.0	 	    1820	 	     314.0	 	-	 	 110.0 	Agni III S2	 1	S
Agni V Stage 3	Agni3               	DRDO	-	  3.0	?	 2.00	?	  10.0	?	     500	?	-	 	-	 	-	Agni V S3	 1	S
SSLV SS1	SSLV	ISRO	-	 22.5	 	 2.00	 	  89.0	 	    8000	?	    2600.0	 	-	 	-	S85	 1	S
SSLV SS2	SSLV	ISRO	-	  3.2	 	 2.00	 	   8.5	 	     500	?	     250.0	 	-	 	-	S7	 1	S
8S816	UR-100              	KHRU	-	 17.2	 	 2.00	 	  88.0	?	    5000	?	    2070.0	 	-	 	 121.0 	RD-0216	 4	M
8S817	UR-100.St2          	KHRU	-	  3.9	 	 2.00	 	  15.0	?	    2000	?	     240.0	 	-	 	 183.0 	15D13	 1	S
Briz-K	Briz                	KHRU	14S12	  2.5	 	 2.00	 	   6.7	 	    1700	 	      19.6	 	-	 	1000.0 	S5.98M	 1	U
Black Arrow	BlackArrow          	SROE/RAE	-	  5.8	 	 2.00	 	  14.1	 	    1070	 	     251.0	 	-	 	 125.0 	Gamma 8	 1	O
Eris Stage 1	Eris	GILM	-	 13.0	 	 2.00	 	  15.0	?	-	 	-	 	-	 	 400.0 	Sirius	 4	S
YL-1 Stage 3	DF-31               	ARMT	-	  2.0	?	 2.00	?	  10.0	?	-	 	-	 	-	 	-	YL-1-3	 1	O
ZK-1A Stage 3	DF-31               	ARMT	-	  8.0	?	 2.00	?	  35.0	?	-	 	     439.3	 	-	 	-	ZK-1A-3	 1	O
CZ-6A Booster	DF-31               	ARMT	-	 10.0	?	 2.00	?	  35.0	?	    1200	 	-	 	-	 	-	CZ-6A Booster	 1	O
CZ-11-1	DF-31               	SLREC	-	  6.0	?	 2.00	 	  40.0	 	    5000	 	-	 	-	 	-	CZ-11-1	 1	S
CZ-11-2	DF-31               	ARMT	-	  6.0	?	 2.00	?	  15.0	?	-	 	-	 	-	 	-	CZ-11-2	 1	S
DF-31 St1	DF-31               	ARMT	-	  8.0	?	 2.00	?	  35.0	?	-	 	-	 	-	 	-	DF-31-1	 1	M
DF-31 St2	DF-31               	ARMT	-	  4.0	?	 2.00	?	  10.0	?	-	 	-	 	-	 	-	DF-31-2	 1	S
DF-31 St3	DF-31               	ARMT	-	  2.0	?	 2.00	?	   2.0	?	-	 	-	 	-	 	-	DF-31-3	 1	S
DF-41 St1	DF-31               	ARMT	-	  8.0	?	 2.00	?	  35.0	?	-	 	-	 	-	 	-	DF-41-1	 1	M
DF-41 St2	DF-31               	ARMT	-	  4.0	?	 2.00	?	  10.0	?	-	 	-	 	-	 	-	DF-41-2	 1	S
DF-41 St3	DF-31               	ARMT	-	  2.0	?	 2.00	?	   2.0	?	-	 	-	 	-	 	-	DF-41-3	 1	S
KZ-11 St1	DF-31               	ARMT	-	  8.0	?	 2.00	?	  35.0	?	-	 	-	 	-	 	-	DF-41-1	 1	M
KZ-11 St2	DF-31               	ARMT	-	  4.0	?	 2.00	?	  10.0	?	-	 	-	 	-	 	-	DF-41-2	 1	S
KZ-11 St3	DF-31               	ARMT	-	  2.0	?	 2.00	?	   2.0	?	-	 	-	 	-	 	-	DF-41-3	 1	S
8K95A	RT-2                	OKB1	-	  4.8	 	 1.95	 	  19.0	?	-	 	     900.0	 	-	 	  30.0 	RT-1-1	 1	M
MSBS 401	MSBS                	AELM	-	  5.4	 	 1.93	 	  22.5	 	    2500	?	     900.0	 	-	 	  60.0 	SEP 401	 1	M
MSBS 402	MSBS.St2            	AELM	-	  2.0	 	 1.93	 	   8.8	 	     800	?	     300.0	 	-	 	  70.0 	SEP 402	 1	S
MSBS 403	MSBS.St3            	AELM	-	  1.1	 	 1.93	 	   1.5	 	     100	?	     100.0	 	-	 	  40.0 	SEP 403	 1	S
Zefiro 40	Zefiro              	AVIO	-	  7.6	 	 2.30	 	  39.2	 	    3006	 	    1304.0	 	-	 	  92.9 	Zefiro-40C	 1	U
Zefiro 23	Zefiro              	AVIO	-	  8.5	 	 1.91	 	  26.5	 	    2653	 	     871.0	 	-	 	  77.0 	Zefiro 23	 1	U
Zefiro 9A	Zefiro              	AVIO	-	  4.4	 	 1.91	 	  11.5	 	    1386	 	     260.0	 	-	 	 120.0 	Zefiro 9A	 1	U
Zefiro 9	Zefiro              	AVIO	-	  4.4	 	 1.91	 	  11.5	 	    1386	 	     260.0	 	-	 	 120.0 	Zefiro 9A	 1	U
R-29 St 1	R-29                	MAK	-	  7.7	 	 1.90	 	  20.0	?	-	 	     682.0	?	-	 	  74.0 	RD-0244	 1	M
R-29R St 1	R-29                	MAK	-	  7.7	 	 1.90	 	  20.0	?	-	 	     682.0	?	-	 	  74.0 	RD-0244	 1	M
R-29RM St1	R-29                	MAK	-	  7.7	 	 1.90	 	  20.0	?	-	 	     682.0	 	-	 	  74.0 	RD-0244	 1	O
R-29RM St2	R-29.St2            	MAK	-	  4.9	 	 1.90	 	  10.0	?	-	 	-	 	-	 	  94.0 	RD R-29RM St 2	 1	S
R-29RM St3	R-29.St3            	MAK	-	  2.8	 	 1.90	 	  10.0	?	-	 	-	 	-	 	  87.0 	RD R-29RM St 3	 1	U
HS-18 St2	Hwasong-18.S2	KPA	-	 10.0	 	 1.90	?	  12.0	?	-	 	-	 	-	 	-	HS-18-S2	 1	M
HS-18 St3	Hwasong-18.S2	KPA	-	  2.0	 	 1.90	?	   3.0	?	-	 	-	 	-	 	-	HS-18-S3	 1	M
GSX-2 S3	GSX2-3	XIDO	-	  3.5	?	 1.90	 	  10.0	?	-	 	-	 	-	 	-	Ceres-2 M3	 1	O
