#Stage_Name	Stage_Family	Stage_Manufacturer	Stage_Alt_Name	Length	Length_Flag	Diameter	Diameter_Flag	Launch_Mass	Launch_Mass_Flag	Dry_Mass	Dry_Mass_Flag	Thrust	Thrust_Flag	ThrustSL	ThrustSL_Flag	Duration	Engine	NEng	Class
# Updated 2026 Sep 18 0729:50
Blok DM-SLB	Blok-D              	NPOE	-	  5.6	 	 3.70	 	  17.3	 	    2720	 	      85.0	 	-	 	 650.0 	11D58M	 1	U
Dragon V2	Dragon              	SPX	-	  6.1	 	 3.70	 	   4.2	 	    4200	 	     584.0	 	-	 	   5.0 	Super Draco	 8	S
SRM	SRB                 	THKU	-	 45.5	 	 3.77	 	 590.0	 	   88000	 	   11790.0	 	-	 	 123.0 	SRM	 1	Y
RSRM	SRB                 	THKU	-	 45.5	 	 3.77	 	 590.0	 	   88000	 	   11790.0	 	-	 	 123.0 	SRM	 1	Y
RSRMV	SRB                 	NGISP	-	 47.4	 	 3.77	 	 733.0	 	   72000	 	    9999.0	 	-	 	 132.8 	RSRMV	 1	Y
Ares I-X	SRB                 	THKU	-	 50.9	 	 3.77	 	 590.0	 	  110000	 	   11790.0	 	-	 	 123.0 	SRM	 1	Y
Falcon 9 St 1	Falcon9             	SPX	-	 29.0	 	 3.65	 	 302.0	?	   17726	 	    3680.0	 	-	 	 174.0 	Merlin 1C	 9	S
Falcon 9 St 1/1D	Falcon9             	SPX	-	 42.0	 	 3.65	 	 390.0	?	   18000	?	    5886.0	 	-	 	 180.0 	Merlin 1D	 9	S
Falcon 9 St 1/1D-FT	Falcon9             	SPX	-	 43.5	 	 3.65	 	 390.0	?	   18000	?	    6770.0	 	-	 	 180.0 	Merlin 1D-FT	 9	S
Falcon 9 St 1/1D-5	Falcon9             	SPX	-	 43.5	 	 3.65	 	 390.0	?	   18000	?	    6770.0	 	-	 	 180.0 	Merlin 1D-5	 9	S
Falcon 9 St 1/1D-4	Falcon9             	SPX	-	 43.5	 	 3.65	 	 390.0	?	   18000	?	    6770.0	 	-	 	 180.0 	Merlin 1D-4	 9	S
Falcon 9-1D	Falcon9             	SPX	-	 33.0	 	 3.65	 	 302.0	?	   18000	?	     547.0	 	-	 	 174.0 	Merlin 1D	 1	S
Falcon 9 St 2	Falcon9.St2         	SPX	-	 10.0	?	 3.65	 	  52.0	?	    2957	 	     427.0	 	-	 	 345.0 	Merlin 1C-Vac	 1	U
Falcon 9 St 2/1D	Falcon9.St2         	SPX	-	 12.6	?	 3.65	 	  75.7	?	    4900	?	     801.0	 	-	 	 372.0 	Merlin 1D-Vac	 1	U
Falcon 9 St 2/1D-4	Falcon9.St2         	SPX	-	 12.6	?	 3.65	 	  75.7	?	    4900	?	     801.0	 	-	 	 372.0 	Merlin 1D-Vac	 1	U
Falcon 9 St 2/1D-5	Falcon9.St2         	SPX	-	 12.6	?	 3.65	 	  75.7	?	    4900	?	     801.0	 	-	 	 372.0 	Merlin 1D-Vac	 1	U
Angara URM-2	URM-2               	KHRU	-	  5.5	 	 3.60	 	  39.8	 	    4000	 	     294.3	 	-	 	 359.0 	RD-0124A	 1	O
KSLV-II Stage 1	KSLV2               	KARI	-	 21.6	 	 3.50	 	-	 	-	 	    2942.0	 	-	 	 127.0 	KRE-075 SL	 4	O
X-15	X-15                	NAA	-	 15.3	 	 3.55	 	  14.2	 	    5150	 	     257.0	 	-	 	 100.0 	XLR-99	 1	T
X-15 XLR-11	X-15                	NAA	-	 15.3	 	 3.55	 	  14.2	 	    5150	 	      71.0	 	-	 	 100.0 	XLR-11	 2	T
Vega P120C	VegaC               	AVIO	-	 11.7	 	 3.40	 	 154.6	 	   11000	 	    4500.0	 	-	 	 132.8 	P120C	 1	M
Ariane 6 ESR	VegaC               	AVIO	-	 22.0	 	 3.40	 	 154.6	 	   11000	 	    4500.0	 	-	 	 132.8 	P120C	 1	M
Ariane 6 ESR P160C	VegaC               	AVIO	-	 22.0	 	 3.40	 	 166.0	 	   11000	 	    4500.0	 	-	 	-	P160C	 1	M
ZQ-2 Stage 1	ZQ-2	LSPHZ	-	 34.0	?	 3.35	 	 150.0	?	   15000	?	    2630.0	 	-	 	-	TQ-12	 4	O
ZQ-2 Stage 2	ZQ-2	LSPHZ	-	 12.0	?	 3.35	 	  50.0	?	    5000	?	     800.0	?	-	 	-	TQ-12	 1	O
ZQ-2E Stage 1	ZQ-2	LSPHZ	-	 34.0	?	 3.35	 	 150.0	?	   15000	?	    2880.0	 	-	 	-	TQ-12A	 4	O
ZQ-2E-2 Stage 1	ZQ-2	LSPHZ	-	 38.8	 	 3.35	 	 150.0	?	   15000	?	    3200.0	 	-	 	-	TQ-12A	 4	O
ZQ-2E-1 Stage 1	ZQ-2	LSPHZ	-	 34.0	?	 3.35	 	 150.0	?	   15000	?	    2766.0	 	-	 	-	TQ-12	 4	O
ZQ-2E Stage 2	ZQ-2	LSPHZ	-	 12.0	?	 3.35	 	  50.0	?	    5000	?	     857.0	 	-	 	-	TQ-15A	 1	O
ZQ-2E-2 Stage 2	ZQ-2	LSPHZ	-	 13.8	 	 3.35	 	  50.0	?	    5000	?	     857.0	 	-	 	-	TQ-15A	 1	O
ZSX-1 Stage 1	Pallas1	XIDO	-	 25.5	 	 3.35	 	 210.0	?	   20000	?	    3500.0	 	-	 	 151.0 	CQ-50	 7	O
ZSX-1 Stage 2	Pallas1	XIDO	-	  7.4	 	 3.35	 	  60.0	?	    6000	?	     600.0	 	-	 	 186.0 	CQ-50v	 1	U
